	blanco	PS 260:265-510	Cef3 5 260:265-510	Cef3 10 260:265-510	Naf 5 260:265-510	Naf 10 260:265-510	Naf 15 260:265-510	Naf 20 260:265-510	Emcorri	WG280 %T
340	880.205	6086.51	3790.48	5959.43	118272	131187	120277	117907	1.504865	90.51291656
341	600.095	5962.76	3827.22	5899.21	113975	125763	116574	112770	1.4971	90.62539673
342	710.134	5671.84	4094.47	5558.17	106551	118739	110152	106593	1.481225	90.65976715
343	580.089	6022.92	3690.28	5648.44	99974.9	112978	102791	100424	1.46535	90.70008087
344	520.072	5902.56	3383.04	5444.52	95264.7	105122	99361.3	95856.2	1.44946	90.71937561
345	630.105	5327.51	3843.91	5150.37	91327.1	101568	95846	93718.1	1.43357	90.7035675
346	760.153	5688.58	3583.41	5210.54	92189.9	102401	95100.1	92417.3	1.41724	90.74420929
347	780.161	5173.76	3209.39	5070.14	93626.9	101600	96514.9	93312.4	1.40091	90.81719208
348	740.145	5213.9	3429.79	5424.46	91746.4	102759	94739.7	93847.2	1.383775	90.84937286
349	750.149	5314.15	3446.49	5183.77	90562.2	99578.3	94270.8	92581.3	1.36664	90.8616333
350	700.13	5096.88	3052.48	5167.08	89996.5	98410.5	92266.8	91896.4	1.349195	90.79025269
351	650.112	4836.19	3326.27	4859.58	87296.4	97968.7	91393.4	89877.4	1.33175	90.88872528
352	630.105	4969.87	3155.98	4608.97	84567.3	95751.1	87930.7	87288.8	1.320635	90.90267944
353	690.126	4361.71	3252.81	4669.1	79618.7	88212.7	85065.4	83101.9	1.30952	90.89910126
354	780.161	4565.54	2972.34	4515.42	72826.3	81776.7	76523	77321.3	1.31308	90.92018127
355	740.145	3930.76	2735.32	4248.11	68483.4	75652.6	73158.5	71258.9	1.31664	90.94924927
356	660.115	4131.22	2601.79	4408.49	63485.4	71051.2	67993.3	66868	1.293885	91.00883484
357	930.229	3740.37	2471.62	3793.81	59692.4	67247.3	64505.5	63681.6	1.27113	91.03983307
358	750.149	3730.35	2508.33	3870.63	57891.8	65446.4	61863.8	60830.9	1.27513	91.02688599
359	1130.34	3476.53	2555.06	3650.2	53472.1	61952.8	59895.5	58334.8	1.27913	91.05859375
360	870.201	3513.27	2438.26	3630.16	50222.1	58877.7	55879.7	55210.5	1.26672	91.13417816
361	930.229	3346.3	2201.28	3302.89	47739.7	53626.2	51735.1	52293.4	1.25431	91.06280518
362	840.187	3312.91	2187.94	3352.98	43956.6	50102.3	48768.4	48153	1.2551	91.11741638
363	970.249	3346.3	2241.37	3176.01	41805.9	48809.3	47333	46878.6	1.25589	91.05747986
364	690.126	2938.96	2114.53	2982.36	40160.8	48809.3	45519.4	44127.5	1.249085	91.15351868
365	900.215	2765.38	1904.29	2918.93	38466.4	46072.4	44666.3	44059.1	1.24228	91.14274597
366	840.187	2745.34	1874.26	2752.02	37568.5	43963.4	43567.9	43278	1.235105	91.17626953
367	760.153	2665.23	1680.75	2812.1	37293.2	42705.3	42766.7	41758	1.22793	91.12612915
368	780.161	2371.49	1724.13	2731.99	34925.8	41345.7	40443.4	41165.2	1.22277	91.20710754
369	1010.27	2331.44	1780.84	2464.94	33351	39262.2	39446	39048	1.21761	91.24784851
370	890.21	2298.08	1780.84	2518.35	31893	36508.2	37813.4	37109.7	1.214145	91.24365234
371	920.224	2224.66	1473.91	2298.07	28729.6	34379	35815.2	35998.6	1.21068	91.22220612
372	980.255	2107.84	1560.65	2041.11	27376.5	32933.7	32916.8	33683.4	1.209565	91.22595978
373	1010.27	2087.82	1537.3	1844.24	25345.2	30463	31652.2	32021.7	1.20845	91.1947403
374	910.219	1784.2	1397.19	2204.62	23228.4	27386.6	30117.5	29829.7	1.19645	91.25164032
375	970.249	1900.96	1330.47	2161.24	21852.2	27822.9	28763.6	29217	1.18445	91.24750519
376	950.239	1740.8	1287.11	1964.36	20696.2	25713.4	27204	27562.5	1.177915	91.31217194
377	820.178	1580.66	1410.53	1744.14	20109.7	26585.3	27139.8	27291.9	1.17138	91.24681854
378	870.201	1717.45	1130.34	1747.48	18974.8	23889.8	26007.5	26298.1	1.1674	91.23748779
379	850.191	1644.06	1197.05	1644.05	17921.2	23910.1	25311.5	25862.4	1.16342	91.28955841
380	870.201	1620.7	1263.76	1670.74	17187.8	22675	24447	25233.7	1.159255	91.27579498
381	860.196	1523.96	1040.29	1527.29	16212.6	20702.7	23289.2	23964.2	1.15509	91.33210754
382	870.201	1540.63	1056.97	1437.21	15688.2	19843.5	23417.3	23511.8	1.14369	91.33273315
383	1010.27	1403.86	1070.3	1560.65	14979.1	20500.5	22348	22270.3	1.13229	91.36297607
384	1160.36	1473.91	933.565	1397.19	14273.7	19702.1	22385	22914.6	1.12923	91.28027344
385	1250.41	1330.48	920.224	1383.84	13481.3	18267.8	22229.9	22088.3	1.12617	91.34507751
386	950.239	1493.93	906.89	1453.89	13672.6	18358.7	21815.1	21926.3	1.11865	91.3170166
387	1160.36	1290.44	840.19	1433.88	13511.5	18065.9	20564.6	21309.3	1.11113	91.34539795
388	1050.29	1343.82	843.524	1327.15	12508.1	16834.6	21123.9	21056.6	1.1035	91.35873413
389	950.239	1157.03	926.895	1347.15	12430.8	16975.9	19863.7	19698.7	1.09587	91.3698349
390	1020.28	1140.34	926.895	1390.51	11625.7	16703.4	19644.8	19880.6	1.091825	91.39083099
391	950.239	1100.32	810.175	1220.4	11035.5	15190.8	18180.3	18988.2	1.08778	91.37852478
392	1080.31	1150.36	886.876	1096.99	10428.7	15331.9	18325.1	18483.3	1.08164	91.37358093
393	1080.31	1070.3	906.886	1083.65	10298.1	13820.3	17460.2	18860.3	1.0755	91.38119507
394	990.26	1080.32	936.904	1070.31	9889.21	14565.9	17315.6	18298.1	1.07127	91.41035461
395	1030.28	1070.3	800.175	963.584	9292.84	13427.5	16535.3	17150.8	1.06704	91.38129425
396	1250.41	1147.02	663.451	930.231	8797.13	13367.1	15990.7	17362.8	1.06217	91.42043304
397	1190.38	1130.35	813.514	1050.3	8505.78	12732.7	16182.3	16078.1	1.0573	91.43961334
398	1300.45	1073.64	813.509	970.251	8412.07	12048.3	15957.1	16148.8	1.05077	91.39996338
399	1460.56	1273.77	736.816	983.593	8037.09	12340.2	15237.8	15587.3	1.04424	91.41033936
400	1450.56	1163.69	793.502	960.245	7642.1	11635.7	14774.3	15735.2	1.0383	91.42147064
401	1220.39	1183.7	663.451	1063.63	7344.27	10891.3	14680.1	14898.5	1.03236	91.43768311
402	1370.5	1110.33	610.099	1013.61	7538.4	11313.8	14330.8	14565.9	1.03407	91.44302368
403	1180.37	1083.65	696.796	906.886	6979.55	11233.3	13377.2	14273.7	1.03578	91.44345856
404	1290.44	866.869	653.448	890.211	6708.57	11142.8	13229.5	14199.8	1.030725	91.44226074
405	1190.38	1073.64	520.072	830.183	6464.4	10036.6	13276.6	13890.9	1.02567	91.42906952
406	1230.4	946.906	553.415	790.167	6150	9785.28	12675.7	13206	1.0271	91.47882843
407	1370.5	976.927	680.124	816.844	6287.14	9604.35	12014.8	12820	1.02853	91.41885376
408	1580.66	936.901	556.75	896.882	6079.79	9554.1	12330.1	12565	1.024195	91.43843079
409	1510.6	883.542	600.097	813.52	5584.92	9071.73	12081.8	12440.9	1.01986	91.50600433
410	1320.46	953.576	583.424	843.523	5665.18	9252.6	11639.2	12159	1.017225	91.43191528
411	1460.56	876.874	606.765	766.823	5307.45	9091.83	11652.5	11608.9	1.01459	91.4537735
412	1390.51	1063.64	686.799	783.498	5391.03	7986.85	11173	11655.8	1.012745	91.47228241
413	1620.7	1060.3	663.451	856.863	5183.8	8258.01	10740.6	11478.1	1.0109	91.4535141
414	1400.52	950.246	590.093	820.18	4769.35	8278.1	10120.4	10780.7	1.00831	91.48718262
415	1510.6	1043.62	620.103	723.473	4662.42	7555.08	10160.6	10680.1	1.00572	91.5065155
416	1810.87	876.874	543.412	836.852	4608.95	7123.41	9805.4	10184.1	1.007735	91.49594879
417	1630.7	993.595	593.43	853.527	4558.84	7103.33	9755.13	10177.3	1.00975	91.5069046
418	1450.56	943.57	596.763	680.124	4328.29	7023.03	9178.92	9758.47	1.004875	91.52145386
419	1730.79	983.599	540.078	700.13	4107.82	6671.76	8991.37	9245.95	1	91.51596069
420	1610.69	853.527	620.102	720.141	4258.14	6079.77	8532.59	9098.54	1.00678	91.49002838
421	1590.67	853.531	563.418	813.51	3800.5	6591.48	8653.12	8743.53	1.01356	91.50514221
422	1580.66	813.509	516.737	663.454	3630.16	5949.36	8147.55	8442.17	1.01046	91.52078247
423	1640.71	843.523	460.058	696.8	3550.05	6200.16	8542.61	8398.63	1.00736	91.5280304
424	1660.73	823.517	566.761	656.782	3890.69	6200.16	7879.74	8552.66	1.009075	91.54736328
425	1620.7	843.522	576.755	566.752	3556.68	5568.2	7501.55	7966.77	1.01079	91.51602173
426	2091.16	946.908	570.088	713.47	3416.43	5427.79	7304.12	7682.27	1.01123	91.5300827
427	1870.93	816.846	503.401	690.128	3226.1	5518.05	6842.39	7427.91	1.01167	91.52268982
428	1680.75	756.819	543.412	576.756	3062.49	5548.14	6835.71	7401.16	1.01169	91.51315308
429	1650.72	823.52	413.381	556.749	3045.79	5287.39	6758.74	6986.24	1.01171	91.51552582
430	1590.67	696.796	580.089	663.452	3039.14	4695.83	6243.64	6912.65	1.01178	91.53972626
431	1640.71	793.501	563.42	603.434	3139.28	5116.92	6206.88	6681.81	1.01185	91.56067657
432	1770.83	716.804	486.734	563.422	2965.66	4735.93	5976.11	6504.53	1.01601	91.56812286
433	2121.19	700.131	400.043	520.072	2484.97	4244.77	5812.35	5912.6	1.02017	91.5480957
434	1810.87	716.806	510.071	536.744	2758.68	4565.51	6059.71	5929.35	1.021385	91.53053284
435	1850.91	663.451	503.401	606.766	2608.47	4465.27	5675.2	5792.21	1.0226	91.58558655
436	1790.85	673.457	446.72	566.754	2488.31	4615.64	5524.75	5608.32	1.026795	91.56383514
437	2011.07	586.762	373.372	590.093	2581.77	4525.42	5350.98	5711.98	1.03099	91.55982208
438	1941	656.782	426.716	516.738	2378.17	3743.71	5233.91	5160.39	1.03034	91.587677
439	2101.17	650.113	456.722	543.413	2164.58	3703.63	4999.95	5060.15	1.02969	91.57442474
440	2041.1	603.432	450.054	563.418	2251.34	3503.25	4809.45	5137.01	1.032625	91.57614899
441	2361.48	583.425	433.384	520.072	2361.5	3302.89	4572.22	4428.53	1.03556	91.59424591
442	1930.99	796.836	506.735	456.723	2034.44	3633.49	4481.99	4622.33	1.03519	91.56745911
443	1890.95	616.769	496.732	483.397	2141.22	3443.14	4211.37	4308.25	1.03482	91.59037781
444	1951.01	673.457	443.389	560.083	2041.13	3543.32	4077.74	4582.25	1.037325	91.56803131
445	2021.08	700.133	406.711	486.729	2031.09	3593.42	3944.12	4284.87	1.03983	91.58119965
446	2111.18	646.778	340.031	416.714	1824.22	3172.66	3870.64	3894.02	1.040765	91.6265564
447	1971.03	530.076	566.752	443.386	1840.9	2942.29	3666.91	3897.35	1.0417	91.62297821
448	2231.32	650.112	446.72	556.749	1854.25	2962.32	3653.54	3676.91	1.04686	91.59481812
449	2201.28	583.426	456.723	520.072	1667.41	2902.23	3165.99	3880.66	1.05202	91.58946228
450	2011.07	626.774	433.384	516.741	1677.42	2792.06	3486.57	3837.23	1.052765	91.60566711
451	2041.1	610.099	416.714	450.056	1553.97	2601.79	3299.55	3526.63	1.05351	91.58662415
452	2521.68	623.437	430.052	550.081	1523.95	2631.83	3299.56	3383.04	1.056725	91.63697052
453	1961.02	590.093	450.054	520.074	1340.48	2411.54	3082.52	3600.1	1.05994	91.58909607
454	2111.18	590.093	370.036	536.744	1610.69	2581.76	3002.39	3182.68	1.066035	91.61660767
455	2231.32	573.421	366.702	440.055	1407.19	2211.29	2999.06	3192.7	1.07213	91.60269928
456	2251.34	623.437	350.033	396.709	1423.87	1740.8	3019.09	3122.6	1.0741	91.61301422
457	2481.63	523.408	530.077	420.048	1557.31	2371.49	2798.74	2959	1.07607	91.60410309
458	2561.74	556.752	480.061	440.053	1303.79	2361.48	2491.65	2735.31	1.07715	91.60034943
459	2121.19	606.764	426.716	426.715	1387.18	2271.37	2331.44	2661.88	1.07823	91.63531494
460	2471.62	373.372	380.039	493.398	1317.13	2031.09	2498.33	2631.84	1.08041	91.63102722
461	2481.63	560.084	426.718	470.059	1273.77	1890.95	2541.71	2598.46	1.08259	91.60426331
462	2331.44	500.066	480.061	466.725	1177.04	1740.8	2217.99	2241.33	1.091325	91.63591766
463	2221.31	586.759	463.391	460.056	1210.39	1830.89	2227.98	2381.5	1.10006	91.61390686
464	2371.49	503.404	433.384	356.701	1140.36	2031.09	2157.93	2254.69	1.09993	91.6335907
465	2972.34	660.116	396.709	483.396	1100.32	1870.93	2184.62	2284.72	1.0998	91.62635803
466	2301.4	680.123	460.057	520.072	1157.02	1951.01	2181.28	2238.01	1.10507	91.63275909
467	2431.57	466.726	566.754	510.071	1083.65	1480.58	1807.54	2278.06	1.11034	91.60466003
468	2932.28	546.747	390.041	403.376	1177.03	1570.65	1964.36	2044.46	1.11105	91.62149048
469	2371.49	593.427	456.723	433.385	1033.62	1780.84	1764.16	2174.59	1.11176	91.63426971
470	2952.31	646.778	433.384	346.699	903.551	1600.68	1644.05	1991.06	1.12104	91.64762878
471	2581.76	576.755	360.034	470.061	940.235	1580.66	1627.37	1760.82	1.13032	91.66873932
472	2251.34	730.142	470.065	443.386	1113.67	1590.67	1744.14	1910.98	1.13339	91.65550995
473	2601.79	560.084	406.711	426.716	1013.61	1380.5	1697.43	1874.26	1.13646	91.66291809
474	2541.71	640.111	346.699	436.717	1153.69	1700.77	1617.36	1860.93	1.141335	91.68461609
475	2792.06	640.11	426.716	376.705	990.26	1650.72	1587.34	1720.79	1.14621	91.67499542
476	2561.74	536.745	403.377	373.371	916.889	1700.77	1533.96	1507.27	1.147145	91.66195679
477	2842.14	633.44	496.735	490.064	900.218	1380.5	1387.18	1630.71	1.14808	91.64454651
478	2772.03	596.762	406.711	446.721	823.516	1010.27	1447.22	1573.99	1.15281	91.64098358
479	2371.49	696.797	366.703	476.728	916.893	1280.43	1307.12	1387.18	1.15754	91.67727661
480	2441.58	566.753	420.05	486.731	826.848	1150.35	1227.07	1367.17	1.16227	91.66784668
481	2752	546.746	453.388	406.711	866.867	1380.5	1330.47	1674.08	1.167	91.66867065
482	2671.89	546.746	450.055	406.711	766.826	1430.54	1357.16	1307.13	1.170955	91.68103027
483	3082.51	676.795	373.372	416.714	773.495	1130.34	1357.15	1363.83	1.17491	91.69202423
484	2972.34	506.735	450.054	390.042	790.165	1130.34	1093.65	1270.43	1.17399	91.72000885
485	2671.89	453.39	346.699	423.382	900.217	1080.31	1170.36	1240.41	1.17307	91.67086792
486	2802.08	490.064	386.707	426.715	750.15	1010.27	1203.72	1270.43	1.1782	91.74079132
487	2721.96	396.709	446.72	400.044	753.485	980.255	1073.64	1270.43	1.18333	91.65326691
488	2701.93	510.071	450.054	413.379	740.146	870.201	1063.64	1233.74	1.189385	91.66899109
489	2782.05	513.406	450.057	406.711	726.811	980.255	1056.96	1243.75	1.19544	91.7077179
490	2752	473.395	393.374	423.383	746.815	940.234	1013.61	1117	1.20245	91.73259735
491	3112.56	630.113	436.718	346.699	796.839	960.244	1073.64	1093.65	1.20946	91.72432709
492	2691.92	536.743	336.697	483.398	660.117	870.201	1230.4	1143.68	1.212145	91.70627594
493	2762.02	506.738	333.363	436.721	696.796	1280.43	940.235	1026.95	1.21483	91.72859192
494	2481.63	446.721	413.379	276.688	583.425	680.123	1026.95	1006.94	1.2219	91.70384979
495	2561.74	506.736	500.07	433.386	643.449	800.17	956.911	1060.3	1.22897	91.70459747
496	2731.98	450.055	360.036	413.379	650.115	740.145	930.231	1016.94	1.23794	91.77915192
497	2231.32	436.717	376.706	313.36	710.137	1200.38	903.55	963.581	1.24691	91.77124786
498	2591.78	476.728	430.049	366.703	730.143	930.229	760.154	866.867	1.254185	91.715065
499	2471.62	480.063	380.038	410.046	623.438	1020.28	950.242	890.212	1.26146	91.74410248
500	2501.66	493.398	396.71	446.72	610.103	740.145	903.55	1010.27	1.26738	91.73744202
