Pos [°2Th]	Iobs [cts]
325293	6203
325553	-42430
325813	-9400
326073	-135497
326333	-75214
326593	-36275
326853	230661
327113	554727
327373	623062
327633	-50018
327893	550337
328153	102799
328413	447268
328673	-202852
328933	-239469
329193	64649
329453	486223
329713	-77325
329973	118914
330233	231224
330493	-219513
330753	27587
331013	127532
331273	670709
331533	313294
331793	130152
332053	-480828
332313	-127523
332573	699761
332833	499639
333093	323302
333353	16452
333613	-15227
333873	88734
334133	-147370
334393	-307918
334653	163687
334913	393584
335173	-212583
335433	304275
335693	-437772
335953	-136392
336213	256534
336473	-206383
336733	454884
336993	-262816
337253	375747
337513	196889
337773	1334994
338033	481486
338293	-282865
338553	-446035
338813	-541091
339073	-105329
339333	38308
339593	78096
339853	509660
340113	679314
340373	494640
340633	214407
340893	228252
341153	189798
341413	13755
341673	-199575
341933	-81493
342193	-63961
342453	-8609
342713	-40455
342973	68107
343233	153251
343493	-216350
343753	161877
344013	389169
344273	-71783
344533	-47070
344793	-193852
345053	-219261
345313	230972
345573	179429
345833	-83698
346093	-324895
346353	-518344
346613	-12450
346873	449402
347133	363251
347393	381178
347653	533538
347913	925808
348173	979120
348433	512321
348693	791381
348953	1194127
349213	1926143
349473	1552754
349733	1914181
349993	2417298
350253	3124059
350513	2940375
350773	3334571
351033	4467652
351293	5090509
351553	5026280
351813	4904134
352073	6310648
352333	5612507
352593	4327270
352853	5534291
353113	5511486
353373	4495702
353633	5482704
353893	5051408
354153	4306437
354413	3775954
354673	3215474
354933	3304952
355193	2738200
355453	1492919
355713	2226473
355973	2019612
356233	2275320
356493	1805789
356753	992059
357013	1441777
357273	1635866
357533	655340
357793	638609
358053	847476
358313	525265
358573	80491
358833	643521
359093	159528
359353	252694
359613	-83828
359873	819918
360133	-293185
360393	-327662
360653	431014
360913	-252201
361173	165811
361433	-134378
361693	132491
361953	-332291
362213	70179
362473	692153
362733	188532
362993	-188455
363253	-145891
363513	873082
363773	544806
364033	-104759
364293	-139691
364553	-155260
364813	308653
365073	1111853
365333	1422694
365593	1013559
365853	524573
366113	34825
366373	-126394
366633	-143795
366893	109635
367153	468380
367413	449806
367673	22555
367933	178719
368193	338962
368453	83298
368713	543539
368973	568446
369233	435284
369493	319809
369753	526091
370013	1012338
370273	965567
370533	585404
370793	241181
371053	424742
371313	510404
371573	583340
371833	704571
372093	600972
372353	418761
372613	184659
372873	634391
373133	703534
373393	571224
373653	306924
373913	454977
374173	288051
374433	-173009
374693	-237199
374953	188784
375213	410691
375473	925806
375733	1145568
375993	504668
376253	320097
376513	-5153
376773	248473
377033	843680
377293	442368
377553	941252
377813	170759
378073	847024
378333	-346451
378593	15114
378853	293062
379113	253922
379373	-649704
379633	-76468
379893	696582
380153	456679
380413	762043
380673	335621
380933	34069
381193	582694
381453	961827
381713	453076
381973	-349683
382233	463000
382493	164753
382753	1064529
383013	239149
383273	262198
383533	245834
383793	978005
384053	-255390
384313	-187452
384573	-27695
384833	767478
385093	42027
385353	275700
385613	-395149
385873	149199
386133	608372
386393	230927
386653	29014
386913	-267374
387173	-8853
387433	371349
387693	-133014
387953	236619
388213	184362
388473	232046
388733	309137
388993	419741
389253	-259323
389513	121952
389773	498035
390033	540859
390293	697353
390553	662705
390813	457091
391073	285086
391333	-335572
391593	-186573
391853	341202
392113	136425
392373	398500
392633	270884
392893	453159
393153	482766
393413	292295
393673	282966
393933	481630
394193	66825
394453	46494
394713	915313
394973	2881249
395233	2071285
395493	48193
395753	329214
396013	1724573
396273	1844086
396533	733728
396793	303922
397053	321985
397313	303848
397573	75132
397833	-216651
398093	-352187
398353	-48664
398613	155139
398873	-314270
399133	124176
399393	412674
399653	128069
399913	149274
400173	76808
400433	-86614
400693	-103501
400953	433075
401213	403313
401473	14455
401733	-40955
401993	-187324
402253	-94035
402513	261987
402773	196217
403033	-9740
403293	-358040
403553	-351426
403813	297288
404073	486422
404333	-141543
404593	-310736
404853	-300866
405113	-638896
405373	895446
405633	118643
405893	343838
406153	465021
406413	466789
406673	851311
406933	807368
407193	560374
407453	400684
407713	122527
407973	-25562
408233	127822
408493	197478
408753	713375
409013	24779
409273	357363
409533	1086525
409793	206080
410053	-389378
410313	-291638
410573	-65926
410833	448949
411093	-203924
411353	-196990
411613	-487844
411873	868010
412133	51501
412393	-431427
412653	-358696
412913	-462230
413173	301136
413433	-25152
413693	-242429
413953	-167291
414213	80814
414473	758817
414733	181924
414993	-530778
415253	-235688
415513	-206331
415773	-8054
416033	-328474
416293	31569
416553	290773
416813	-138779
417073	-105077
417333	-344192
417593	-220223
417853	196573
418113	438892
418373	889304
418633	234019
418893	101396
419153	34007
419413	294182
419673	366393
419933	319617
420193	18012
420453	-338788
420713	-58303
420973	664770
421233	593711
421493	434427
421753	347890
422013	168395
422273	-61710
422533	-330423
422793	59261
423053	694659
423313	423029
423573	250265
423833	756687
424093	680527
424353	328565
424613	445104
424873	736872
425133	707736
425393	584264
425653	328921
425913	33908
426173	133373
426433	-100091
426693	92706
426953	35923
427213	-78376
427473	142593
427733	317948
427993	397276
428253	-247637
428513	-61016
428773	102427
429033	366466
429293	-56241
429553	6944
429813	43814
430073	268114
430333	210487
430593	563964
430853	741439
431113	-225850
431373	635137
431633	257185
431893	372502
432153	895266
432413	1578143
432673	881197
432933	996634
433193	1695356
