14.8	1.4691e+07
44.4	1.04774e+07
74	7.46609e+06
103.6	5.32108e+06
133.2	3.79324e+06
162.8	2.70533e+06
192.4	1.92704e+06
222	1.37288e+06
251.6	977780
281.2	697738
310.8	497297
340.4	354740
370	253436
399.6	179720
429.2	127873
458.8	91084
488.4	65068
518	46534
547.6	32905
577.2	23502
606.8	16943
636.4	11874
666	8626
695.6	6102
725.2	4282
754.8	3101
784.4	2348
814	1587
843.6	1136
873.2	844
902.8	550
932.4	412
962	304
991.6	172
1021.2	145
1050.8	113
1080.4	77
1110	51
1139.6	32
1169.2	30
1198.8	20
1228.4	7
1258	13
1287.6	7
1317.2	4
1346.8	6
1376.4	1
1406	1
1435.6	3
1465.2	0
1494.8	1
1524.4	0
1554	0
1583.6	0
1613.2	0
1642.8	0
1672.4	0
1702	0
1731.6	0
1761.2	0
1790.8	0
1820.4	0
1850	0
1879.6	0
1909.2	0
1938.8	0
1968.4	0
1998	0
2027.6	0
2057.2	0
2086.8	0
2116.4	0
2146	0
2175.6	0
2205.2	0
2234.8	0
2264.4	0
2294	0
2323.6	0
2353.2	0
2382.8	0
2412.4	0
2442	0
2471.6	0
2501.2	0
2530.8	0
2560.4	0
2590	0
2619.6	0
2649.2	0
2678.8	0
2708.4	0
2738	0
2767.6	0
2797.2	0
2826.8	0
2856.4	0
2886	0
2915.6	0
2945.2	0
