nm, Abs ps,Abs nf,abs pvt,abs pvtcef3,
583,0.99944,2.433631,1.309541,1.507117,1.247875
582,1.000804,2.434032,1.311237,1.509283,1.249542
581,1.002193,2.433434,1.31321,1.51117,1.2511
580,1.003528,2.435014,1.314674,1.513183,1.252649
579,1.004907,2.434553,1.316139,1.514307,1.253856
578,1.006253,2.436219,1.317614,1.516155,1.255427
577,1.00758,2.436882,1.319111,1.518246,1.256811
576,1.008851,2.437608,1.320507,1.519874,1.258189
575,1.010181,2.438349,1.322008,1.521253,1.259513
574,1.011479,2.439137,1.323304,1.523091,1.260962
573,1.012721,2.438913,1.324798,1.524636,1.262375
572,1.013967,2.440934,1.326212,1.526325,1.263943
571,1.015117,2.437371,1.327483,1.527634,1.265018
570,1.016463,2.442855,1.329173,1.529566,1.266689
569,1.017739,2.442774,1.330748,1.531283,1.268042
568,1.018892,2.443824,1.332418,1.532869,1.2694
567,1.019956,2.444744,1.333784,1.534605,1.270932
566,1.021336,2.444711,1.335516,1.536535,1.27212
565,1.022511,2.444597,1.336996,1.53825,1.273767
564,1.023772,2.446974,1.338783,1.540044,1.275479
563,1.024761,2.444605,1.3403,1.541657,1.2767
562,1.026007,2.447976,1.342129,1.543456,1.278272
561,1.027222,2.449209,1.343834,1.545115,1.279911
560,1.028447,2.448111,1.345961,1.547031,1.281753
559,1.029702,2.45031,1.347951,1.548952,1.283377
558,1.031543,2.449687,1.342962,1.546597,1.280155
557,1.033094,2.448992,1.34171,1.546618,1.279831
556,1.034465,2.450233,1.343508,1.548437,1.281246
555,1.035627,2.449187,1.34523,1.550271,1.282908
554,1.037069,2.451554,1.346835,1.55237,1.284464
553,1.038265,2.45395,1.348644,1.554202,1.2862
552,1.039504,2.454076,1.350409,1.556083,1.287903
551,1.040909,2.455346,1.352256,1.558248,1.289595
550,1.042219,2.455447,1.353917,1.559824,1.291365
549,1.043435,2.454426,1.355805,1.562035,1.293098
548,1.044829,2.456972,1.357508,1.563894,1.294762
547,1.046208,2.457041,1.359061,1.565754,1.296276
546,1.047271,2.4572,1.360989,1.56756,1.297965
545,1.048849,2.458492,1.362985,1.569793,1.29987
544,1.050203,2.459831,1.364939,1.571777,1.301745
543,1.051419,2.45986,1.366759,1.573627,1.303649
542,1.052895,2.462264,1.368899,1.576125,1.305506
541,1.054064,2.459892,1.370873,1.578094,1.307291
540,1.055539,2.463512,1.372782,1.580344,1.309366
539,1.056951,2.462313,1.374874,1.582336,1.311087
538,1.058475,2.463532,1.376747,1.584867,1.313126
537,1.059921,2.464718,1.378785,1.586747,1.315138
536,1.061392,2.467115,1.380755,1.589129,1.317095
535,1.062644,2.465915,1.382894,1.591329,1.31894
534,1.064029,2.467079,1.384736,1.593527,1.320951
533,1.065651,2.467099,1.386828,1.595782,1.323016
532,1.067067,2.468335,1.388756,1.597751,1.324943
531,1.068442,2.468286,1.390998,1.599797,1.326871
530,1.069977,2.469493,1.393012,1.602239,1.328783
529,1.071393,2.471828,1.394858,1.604617,1.3308
528,1.072936,2.471933,1.397085,1.606851,1.332909
527,1.074418,2.471877,1.398854,1.609263,1.334779
526,1.075975,2.47435,1.401056,1.611641,1.33695
525,1.077362,2.474237,1.402683,1.613523,1.338781
524,1.078824,2.474387,1.405096,1.615846,1.341061
523,1.080205,2.474354,1.406924,1.618166,1.342812
522,1.081672,2.475566,1.409,1.62087,1.345052
521,1.083058,2.477962,1.410946,1.623213,1.346996
520,1.084657,2.478084,1.413269,1.625385,1.34938
519,1.086193,2.479261,1.415225,1.627572,1.351335
518,1.087779,2.481715,1.417235,1.629989,1.353528
517,1.089247,2.48169,1.419337,1.632568,1.355431
516,1.090678,2.481723,1.421399,1.635046,1.357677
515,1.092194,2.481686,1.423295,1.63694,1.359772
514,1.093885,2.484186,1.425483,1.639442,1.36204
513,1.095484,2.485409,1.427852,1.642087,1.364271
512,1.097018,2.485373,1.429776,1.644371,1.3664
511,1.098606,2.486627,1.431977,1.646716,1.368777
510,1.100132,2.486623,1.434173,1.649237,1.370865
509,1.101914,2.48791,1.436092,1.651819,1.373104
508,1.103463,2.487865,1.43838,1.653964,1.375268
507,1.104836,2.487898,1.44031,1.656197,1.377328
506,1.106668,2.489168,1.442348,1.658799,1.379676
505,1.108251,2.49165,1.444573,1.661554,1.381988
504,1.110157,2.491626,1.4467,1.66377,1.384317
503,1.111826,2.492931,1.449135,1.666065,1.386234
502,1.113441,2.494232,1.451116,1.668932,1.388846
501,1.115248,2.494244,1.453542,1.671603,1.391348
500,1.116912,2.496751,1.455706,1.674054,1.393419
499,1.118426,2.494183,1.457652,1.676331,1.395807
498,1.120435,2.498031,1.460136,1.678874,1.398269
497,1.122152,2.498031,1.462366,1.6814,1.400712
496,1.124005,2.499277,1.464574,1.683907,1.402931
495,1.125793,2.500617,1.466884,1.686519,1.405458
494,1.127541,2.501859,1.468985,1.689442,1.407898
493,1.129401,2.503101,1.471452,1.691782,1.410347
492,1.131154,2.503101,1.473621,1.694585,1.41286
491,1.132982,2.503113,1.476055,1.696611,1.415188
490,1.134796,2.503105,1.478483,1.700047,1.417828
489,1.136761,2.508274,1.481023,1.702872,1.420672
488,1.138592,2.508266,1.483479,1.705327,1.423238
487,1.140462,2.508177,1.485868,1.708131,1.425846
486,1.142437,2.510752,1.488186,1.710785,1.428293
485,1.144345,2.510683,1.490623,1.713437,1.430844
484,1.146445,2.510683,1.493017,1.716597,1.433591
483,1.148155,2.510569,1.495311,1.718815,1.436241
482,1.15003,2.513079,1.497858,1.721457,1.439004
481,1.152098,2.515618,1.500433,1.724776,1.441798
480,1.154173,2.515553,1.503078,1.727306,1.444552
479,1.156189,2.518091,1.50541,1.73022,1.447256
478,1.158032,2.517949,1.50801,1.733147,1.449855
477,1.159997,2.519027,1.510242,1.735531,1.45258
476,1.162036,2.521582,1.512743,1.738721,1.455332
475,1.163747,2.519987,1.514892,1.740937,1.45765
474,1.165854,2.523836,1.51735,1.744099,1.4606
473,1.167855,2.524927,1.520173,1.747003,1.46328
472,1.169897,2.523318,1.522638,1.749729,1.466246
471,1.171741,2.527148,1.524682,1.752447,1.468727
470,1.173871,2.525597,1.526831,1.755047,1.471199
469,1.175891,2.526728,1.529485,1.757603,1.474112
468,1.177808,2.527871,1.531471,1.760656,1.476566
467,1.179628,2.526278,1.533484,1.762566,1.478683
466,1.181814,2.530187,1.535633,1.76566,1.481664
465,1.183879,2.532603,1.538508,1.768405,1.484034
464,1.18576,2.532414,1.540306,1.77111,1.486601
463,1.187719,2.533567,1.542341,1.774021,1.488876
462,1.189708,2.534679,1.544056,1.776419,1.491756
461,1.191746,2.53596,1.546377,1.779244,1.494183
460,1.193677,2.535779,1.548368,1.782037,1.4967
459,1.19556,2.535541,1.550021,1.784042,1.498658
458,1.197673,2.536739,1.552586,1.787089,1.501564
457,1.200044,2.542336,1.554399,1.790022,1.504476
456,1.201769,2.542102,1.556529,1.792585,1.506877
455,1.203927,2.543398,1.558319,1.794748,1.509123
454,1.206084,2.54462,1.56004,1.797619,1.511571
453,1.208332,2.545991,1.562215,1.800396,1.514448
452,1.210261,2.545785,1.563967,1.802798,1.517078
451,1.212039,2.542735,1.566072,1.804732,1.51936
450,1.21483,2.547099,1.568536,1.808192,1.522397
449,1.216559,2.551108,1.570613,1.811012,1.525608
