lambda,qe
211.32075471698113,14.142135623730944
232.07547169811318,17.2844378656321
250.94339622641508,19.283519958849894
275.4716981132075,19.283519958849894
301.88679245283015,18.934963386686075
333.9622641509434,17.60261141005308
366.0377358490566,15.777785582673019
392.4528301886793,13.886511426146551
422.64150943396226,11.36195052773688
445.2830188679245,9.64175997942495
467.9245283018869,8.182004953629857
490.56603773584914,6.573514635572071
509.43396226415086,5.578289588807716
