ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
96.1799545	3089	0	106	128	121	3249	2766	2729
96.386795	3064	0	118	118	108	3209	2794	2626
96.59363	3039	0	124	117	109	3116	2754	2737
96.80047	3117	1	107	113	109	3246	2807	2808
97.00731	3165	0	117	124	124	3227	2719	2715
97.21414	3065	1	93	130	107	3201	2785	2721
97.42098	3175	0	103	107	116	3223	2766	2624
97.62782	3014	2	108	103	115	3258	2765	2757
97.83466	3144	2	105	117	109	3161	2687	2725
98.0415039	3060	1	86	121	102	3200	2695	2626
98.24834	3147	0	88	104	95	3297	2752	2653
98.45518	3113	0	122	124	89	3193	2665	2598
98.66202	3093	1	94	97	119	3148	2664	2614
98.86885	3000	0	110	112	108	3219	2618	2586
99.07569	3008	0	97	121	110	3077	2723	2542
99.28253	2980	2	91	107	109	3144	2553	2571
99.48937	3043	2	101	103	111	3165	2661	2651
99.69621	2955	0	101	110	87	3055	2608	2626
99.9030457	2948	1	87	94	104	3038	2594	2541
100.109886	2990	1	80	105	93	3092	2600	2561
100.316727	2910	0	92	96	112	3056	2605	2567
100.52356	2977	0	101	101	95	3061	2615	2623
100.7304	2918	1	85	89	97	3084	2677	2503
100.937241	2864	0	94	88	96	2989	2589	2556
101.144081	2958	0	81	98	93	3095	2595	2563
101.350922	2951	0	109	123	116	3082	2520	2533
101.557755	2949	1	91	91	89	3199	2604	2589
101.764595	2963	1	101	102	89	2951	2544	2544
101.971436	2942	0	83	105	117	2959	2535	2393
102.178268	2940	1	94	78	90	2938	2545	2531
102.385109	2896	3	103	96	98	2929	2549	2511
102.591949	2867	1	92	93	121	3043	2561	2465
102.79879	2848	1	92	107	98	3044	2517	2421
103.00563	2855	0	85	97	98	2994	2455	2544
103.212463	2941	1	72	93	88	2913	2530	2485
103.419304	2865	0	99	100	106	2953	2528	2510
103.626144	2885	0	79	94	92	3025	2485	2434
103.832977	2891	0	92	81	82	2948	2477	2452
104.039818	2841	1	94	83	63	2928	2500	2515
104.246658	2821	0	99	96	101	2942	2494	2469
104.4535	2912	1	68	88	91	2938	2395	2443
104.660339	2933	1	85	98	93	2897	2493	2461
104.867172	2683	1	84	76	94	2900	2481	2389
105.074013	2734	2	68	90	79	2851	2424	2391
105.280853	2843	0	86	82	89	2992	2383	2320
105.487686	2867	0	70	85	93	2896	2461	2377
105.694527	2704	1	88	89	82	2941	2528	2344
105.901367	2755	1	86	105	96	2967	2444	2440
106.108208	2837	3	77	93	101	2825	2410	2438
106.315048	2726	0	76	90	103	2879	2438	2378
106.521881	2794	2	90	72	88	2852	2401	2445
106.728722	2811	1	83	89	103	2972	2389	2429
106.935562	2706	1	83	74	83	2834	2410	2421
107.142395	2768	0	76	83	101	2818	2417	2337
107.349236	2657	1	77	94	78	2803	2357	2323
107.556076	2765	1	64	90	78	2783	2371	2317
107.762917	2759	1	77	94	93	2770	2355	2297
107.969757	2701	0	58	83	91	2881	2369	2410
108.17659	2726	2	73	76	80	2834	2345	2340
108.38343	2662	0	70	90	88	2867	2439	2286
108.590271	2688	1	84	85	81	2784	2410	2325
108.797104	2707	1	63	73	85	2839	2349	2404
109.003944	2710	0	64	76	94	2739	2336	2283
109.210785	2819	0	73	75	101	2846	2272	2324
109.417625	2708	0	85	78	76	2702	2336	2387
109.624466	2724	1	70	88	78	2693	2234	2284
109.8313	2716	2	56	74	93	2751	2449	2236
110.038139	2648	1	75	79	82	2653	2343	2349
110.24498	2681	1	69	67	91	2701	2286	2298
110.451813	2686	1	71	79	72	2796	2299	2215
110.658653	2677	1	63	90	91	2730	2319	2229
110.865494	2645	2	67	76	72	2671	2295	2235
111.072334	2686	0	62	77	75	2708	2330	2183
111.279175	2646	2	59	83	88	2690	2416	2218
111.486008	2617	0	55	71	88	2748	2403	2221
111.692848	2694	0	70	89	72	2721	2215	2279
111.899689	2599	1	63	71	85	2639	2244	2237
112.106522	2747	1	53	79	88	2602	2266	2215
112.313362	2568	0	62	92	75	2726	2235	2188
112.5202	2597	0	64	77	77	2769	2248	2229
112.727043	2621	1	59	72	78	2646	2261	2157
112.933884	2595	1	73	61	86	2594	2255	2196
113.140717	2505	0	74	79	79	2644	2311	2139
113.347557	2630	0	70	66	68	2772	2328	2240
113.5544	2569	2	86	79	80	2680	2180	2196
113.76123	2576	1	61	79	69	2688	2205	2075
113.968071	2482	0	60	68	86	2690	2231	2111
114.174911	2637	0	61	95	65	2644	2260	2194
114.381752	2462	0	56	66	63	2537	2186	2174
114.588593	2492	1	45	77	88	2561	2222	2067
114.795425	2468	3	68	87	77	2611	2252	2179
115.002266	2483	0	53	73	80	2609	2248	2152
115.209106	2568	0	54	65	66	2647	2191	2192
115.415939	2586	0	72	64	85	2650	2119	2083
115.62278	2473	1	47	65	66	2608	2188	2112
115.82962	2564	1	68	80	66	2582	2197	2063
116.036461	2499	1	48	62	68	2606	2129	2007
116.2433	2423	0	43	60	89	2587	2131	2118
116.450134	2559	0	61	60	61	2557	2087	2190
116.656975	2505	0	57	55	55	2527	2135	2129
116.863815	2416	1	54	66	75	2519	2131	2095
117.070648	2460	1	56	47	57	2509	2104	2096
117.277489	2516	0	49	82	61	2594	2147	2138
117.484329	2458	1	51	67	74	2483	2106	2048
117.69117	2388	2	55	76	79	2492	2117	2126
117.89801	2359	0	59	60	70	2464	2141	2087
118.104843	2491	0	53	65	60	2511	2130	2102
118.311684	2392	2	53	53	76	2530	2157	1963
118.518524	2400	0	39	65	61	2503	2054	2079
118.725357	2436	2	44	60	62	2588	2229	2065
118.9322	2449	0	53	55	75	2453	2128	2053
119.139038	2543	1	47	53	67	2521	2124	2082
119.345879	2401	3	46	70	60	2455	2067	2009
119.552719	2400	1	48	48	73	2433	2152	1989
119.759552	2379	0	60	70	80	2421	2099	2037
119.966393	2311	1	62	72	74	2486	2074	1946
120.173233	2437	0	37	60	69	2445	2046	1985
120.380066	2403	1	52	53	56	2404	2053	1911
120.586906	2440	1	33	50	63	2391	2041	1981
120.793747	2346	2	39	61	70	2437	2039	2011
121.000587	2333	1	44	53	62	2450	2090	2034
121.207428	2411	0	48	49	63	2452	2069	1938
121.414261	2406	1	48	64	68	2428	2050	2002
121.6211	2352	2	51	63	76	2483	2044	2032
121.827942	2339	0	53	61	65	2413	1965	1956
122.034775	2349	0	44	55	54	2484	2027	1931
122.241615	2322	1	39	76	55	2484	1997	1920
122.448456	2370	0	50	57	58	2466	2018	1880
122.6553	2329	1	50	67	61	2427	2041	2001
122.862137	2362	0	34	65	58	2404	2016	1948
123.06897	2307	3	55	67	45	2387	2067	1857
123.27581	2266	0	45	60	54	2405	2054	1938
123.482651	2318	0	45	54	65	2347	2020	1954
123.689484	2330	1	44	64	66	2315	2001	1908
123.896324	2334	0	46	45	72	2335	1951	1857
124.103165	2348	1	39	61	66	2357	1963	1957
124.310005	2188	0	41	62	55	2304	1976	1901
124.516846	2285	1	60	62	46	2416	1959	1929
124.723679	2246	1	60	62	55	2352	2019	1888
124.930519	2275	1	51	53	57	2377	1881	1892
125.13736	2261	2	38	72	44	2307	1930	1865
125.344193	2216	1	48	59	56	2212	2007	1803
125.551033	2298	0	44	58	67	2344	1956	1941
125.757874	2197	1	41	59	61	2240	1984	1862
125.964714	2279	0	48	51	57	2356	1921	1859
126.171555	2233	0	42	45	63	2280	1864	1808
126.378387	2197	1	36	70	70	2311	1918	1856
126.585228	2184	2	39	57	65	2193	1892	1880
126.792068	2212	1	48	49	54	2282	1874	1818
126.9989	2239	1	45	37	54	2293	1919	1902
127.205742	2193	0	46	60	50	2243	1913	1793
127.412582	2199	0	41	57	59	2364	1927	1840
127.619423	2134	1	40	49	45	2327	1933	1837
127.826263	2169	0	43	49	60	2181	1881	1817
128.0331	2190	0	44	55	54	2263	1891	1806
128.239929	2191	1	38	53	56	2278	1925	1815
128.446777	2233	1	39	59	50	2168	1877	1790
128.65361	2151	2	31	51	43	2189	1839	1783
128.860458	2124	1	30	52	56	2230	1889	1783
129.067291	2179	1	39	55	50	2243	1877	1771
129.274124	2141	0	39	52	67	2231	1849	1771
129.480972	2170	1	47	52	52	2114	1840	1813
129.6878	2212	0	38	44	47	2129	1872	1868
129.894653	2231	2	43	48	55	2175	1842	1769
130.101486	2114	0	47	44	51	2195	1860	1895
130.308319	2115	0	34	47	54	2172	1750	1745
130.515167	2084	1	42	50	56	2256	1909	1735
130.722	2146	0	41	47	58	2240	1744	1777
130.928833	2096	0	45	48	50	2185	1773	1756
131.135681	2143	1	43	50	62	2193	1817	1758
131.342514	2150	1	31	43	50	2146	1826	1706
131.549347	2206	2	44	58	57	2109	1790	1736
131.7562	2184	1	33	57	66	2106	1881	1718
131.963028	2182	0	43	53	65	2198	1810	1776
132.169876	2004	0	27	49	59	2099	1767	1669
132.376709	2075	1	37	47	47	2244	1772	1718
132.583542	2019	0	34	53	56	2206	1732	1681
132.79039	2120	2	42	40	50	2109	1820	1731
132.997223	2104	0	41	55	46	2188	1728	1755
133.204071	2132	2	21	51	46	2096	1786	1654
133.4109	2020	0	36	40	52	2070	1822	1727
133.617737	2065	1	35	54	56	2037	1742	1666
133.824585	2087	1	31	53	53	2019	1725	1690
134.031418	2130	0	38	51	57	2148	1714	1733
134.238251	2021	1	42	51	67	2060	1696	1713
134.4451	2111	0	41	53	48	2098	1737	1827
134.651932	2068	0	35	47	58	2120	1774	1674
134.858765	2147	0	45	54	48	2154	1744	1631
135.065613	2049	1	40	54	54	2016	1668	1743
135.272446	2084	2	43	49	51	2113	1747	1625
135.4793	2048	0	44	33	51	2027	1699	1557
135.686127	1945	1	39	51	58	2079	1700	1676
135.89296	2097	1	30	51	55	2080	1743	1661
136.099808	2018	0	41	47	40	2040	1743	1673
136.306641	1918	2	31	49	68	2056	1713	1640
136.513489	2040	1	28	48	44	2043	1692	1666
136.720322	1956	1	36	55	46	2028	1680	1633
136.927155	1926	1	31	63	42	2020	1655	1677
137.134	1994	0	39	37	46	2080	1646	1638
137.340836	1992	0	44	36	47	2065	1688	1616
137.547668	1951	0	34	52	57	2068	1710	1597
137.754517	2031	0	36	41	46	1903	1652	1606
137.961349	1961	2	42	41	48	2035	1699	1544
138.168182	1988	1	29	53	49	2037	1671	1634
138.375031	1983	1	27	38	63	2052	1689	1662
138.581863	1954	0	38	49	51	1963	1536	1598
138.788712	1848	0	31	38	45	1965	1633	1653
138.995544	1921	4	26	43	43	2009	1696	1586
139.202377	2020	3	34	43	38	1951	1645	1582
139.409225	1969	1	26	49	53	2020	1650	1548
139.616058	1948	2	31	57	52	2016	1629	1612
139.8229	1934	0	34	56	44	2005	1641	1562
140.029739	1915	1	30	31	50	1974	1582	1584
140.236572	1837	0	29	50	65	1955	1556	1643
140.44342	1846	2	32	40	46	2003	1608	1567
140.650253	1870	0	30	59	49	1962	1605	1537
140.857086	1832	3	19	45	46	1948	1615	1494
141.063934	1923	0	32	54	44	1963	1567	1621
141.270767	1851	0	26	41	41	1970	1589	1513
141.4776	1894	1	32	48	49	1902	1621	1523
141.684448	1969	1	27	50	49	1937	1584	1572
141.891281	1951	0	42	39	48	1839	1537	1551
142.098129	1896	0	36	49	37	1914	1647	1490
142.304962	1890	1	26	56	50	1942	1601	1489
142.5118	1932	1	31	49	39	1910	1602	1503
142.718643	1815	1	25	25	55	1887	1605	1547
142.925476	1840	0	24	43	34	1854	1545	1552
143.132324	1907	2	37	38	49	1883	1552	1509
143.339157	1876	2	31	56	64	1936	1583	1576
143.54599	1764	0	39	37	49	1861	1581	1524
143.752838	1917	0	29	39	40	1838	1542	1513
143.959671	1864	1	38	42	45	1919	1609	1487
144.1665	1876	0	32	48	34	1940	1584	1554
144.373352	1871	2	25	35	34	1799	1541	1523
144.580185	1836	0	37	47	40	1856	1560	1475
144.787018	1838	0	21	50	50	1848	1535	1507
144.993866	1740	2	31	41	40	1889	1530	1450
145.2007	1795	0	39	32	44	1825	1599	1509
145.407547	1761	1	35	41	39	1779	1526	1436
145.61438	1841	2	32	45	38	1835	1536	1516
145.821213	1772	1	40	44	46	1860	1510	1417
146.028061	1866	3	37	45	49	1805	1465	1484
146.2349	1784	0	34	39	51	1890	1561	1407
146.441742	1786	0	23	46	56	1865	1532	1490
146.648575	1765	3	26	46	56	1755	1502	1371
146.855408	1874	1	29	34	54	1899	1472	1482
147.062256	1749	4	32	47	46	1799	1521	1401
147.269089	1755	1	32	51	46	1784	1516	1421
147.475922	1740	0	29	56	47	1833	1503	1381
147.68277	1893	2	31	35	42	1734	1533	1394
147.8896	1768	0	34	48	44	1848	1494	1428
148.096436	1734	1	27	35	48	1804	1461	1427
148.303284	1774	2	29	40	43	1779	1434	1407
148.510117	1810	0	29	42	40	1730	1453	1475
148.716965	1722	0	27	39	50	1755	1550	1420
148.9238	1744	3	36	42	48	1742	1482	1442
149.13063	1725	0	21	40	48	1809	1437	1458
149.337479	1750	1	21	39	35	1791	1485	1414
149.544312	1691	2	28	40	35	1726	1350	1358
149.75116	1765	1	30	42	48	1774	1445	1358
149.958	1754	0	20	38	36	1782	1403	1371
150.164825	1675	0	40	32	55	1770	1443	1370
150.371674	1715	0	35	38	41	1673	1497	1301
150.5785	1715	1	25	35	46	1752	1388	1398
150.785339	1700	2	25	34	42	1771	1509	1431
150.992188	1727	0	31	46	46	1771	1420	1362
151.19902	1722	3	22	39	34	1731	1394	1359
151.405853	1704	0	23	51	43	1712	1415	1345
151.6127	1695	1	27	40	34	1786	1385	1390
151.819534	1633	0	30	59	41	1703	1432	1301
152.026382	1616	0	30	33	33	1678	1447	1438
152.233215	1608	0	42	33	43	1773	1440	1373
152.440048	1715	0	24	37	47	1757	1428	1399
152.6469	1661	1	28	31	37	1702	1469	1349
152.853729	1633	2	23	32	48	1662	1304	1265
153.060577	1662	0	27	35	35	1724	1383	1361
153.26741	1663	1	18	29	43	1674	1375	1357
153.474243	1657	1	28	43	48	1714	1371	1326
153.681091	1627	0	29	41	48	1673	1382	1317
153.887924	1652	0	29	33	50	1674	1295	1379
154.094757	1612	2	19	43	41	1727	1377	1326
154.3016	1599	2	34	46	37	1658	1381	1384
154.508438	1613	1	24	41	35	1641	1324	1351
154.715271	1549	1	26	45	50	1643	1372	1288
154.922119	1656	1	23	38	44	1693	1398	1288
155.128952	1624	0	24	48	38	1713	1438	1316
155.3358	1553	1	29	37	43	1617	1311	1299
155.542633	1648	0	28	35	55	1705	1284	1311
155.749466	1643	1	20	33	38	1674	1394	1306
155.956314	1608	2	21	41	37	1613	1284	1287
156.163147	1701	3	24	38	30	1601	1358	1284
156.37	1599	1	24	38	42	1676	1295	1309
156.576828	1571	1	32	34	53	1677	1352	1325
156.783661	1613	0	25	34	42	1599	1348	1295
156.990509	1610	0	22	39	41	1528	1367	1244
157.197342	1609	2	23	33	29	1621	1273	1315
157.404175	1626	1	22	37	28	1642	1362	1245
157.611023	1532	0	22	34	39	1562	1319	1299
157.817856	1582	0	22	38	42	1593	1367	1258
158.024689	1573	0	23	42	38	1641	1346	1329
158.231537	1556	1	19	30	43	1642	1341	1213
158.43837	1552	1	24	43	37	1582	1277	1275
158.645218	1557	1	26	34	38	1588	1282	1259
158.852051	1554	0	20	39	45	1599	1371	1334
159.058884	1524	1	27	32	36	1603	1295	1254
159.265732	1615	1	32	36	40	1588	1255	1246
159.472565	1585	5	18	38	35	1606	1278	1287
159.679413	1546	0	25	42	30	1570	1297	1210
159.886246	1553	1	21	35	42	1648	1270	1207
160.093079	1603	1	27	30	33	1554	1322	1245
160.299927	1536	0	22	42	34	1555	1256	1227
160.50676	1459	1	31	40	39	1493	1241	1213
160.7136	1531	0	33	31	51	1612	1329	1265
160.920441	1562	0	25	41	34	1560	1236	1194
161.127274	1526	1	22	32	31	1534	1360	1244
161.3341	1487	3	30	33	40	1546	1284	1230
161.540955	1535	2	20	31	45	1564	1308	1244
161.747787	1566	1	35	41	34	1506	1276	1205
161.954636	1525	0	21	43	51	1537	1281	1151
162.161469	1520	1	29	29	39	1593	1257	1248
162.3683	1476	0	23	40	35	1516	1317	1194
162.57515	1488	1	20	31	46	1483	1228	1220
162.781982	1488	1	23	37	34	1475	1274	1198
162.988831	1500	1	19	29	38	1561	1221	1183
163.195663	1543	2	19	34	41	1538	1287	1209
163.4025	1463	0	22	29	39	1560	1173	1106
163.609344	1544	1	21	40	39	1549	1236	1138
163.816177	1546	1	29	25	32	1503	1273	1212
164.02301	1479	1	14	35	28	1472	1240	1206
164.229858	1551	0	24	38	28	1513	1216	1144
164.436691	1468	1	22	41	31	1458	1176	1200
164.643524	1508	0	21	37	43	1468	1189	1175
164.850372	1459	0	23	33	42	1478	1221	1147
165.0572	1436	1	23	38	37	1457	1130	1131
165.264053	1470	0	23	34	32	1443	1181	1114
165.470886	1474	0	29	30	38	1503	1177	1163
165.677719	1491	0	29	31	36	1479	1221	1177
165.884567	1400	0	30	33	43	1484	1140	1183
166.0914	1512	2	25	40	30	1494	1183	1138
166.298248	1468	1	29	45	46	1446	1183	1178
166.505081	1396	1	19	35	42	1468	1166	1132
166.711914	1460	0	26	36	36	1509	1207	1161
166.918762	1378	0	29	38	36	1441	1134	1116
167.1256	1452	1	19	32	33	1488	1178	1109
167.332428	1427	2	18	27	33	1420	1139	1018
167.539276	1492	0	20	29	31	1492	1201	1157
167.746109	1419	2	24	28	38	1385	1202	1094
167.952942	1431	1	26	26	30	1390	1130	1131
168.15979	1392	0	24	29	44	1468	1235	1142
168.366623	1397	0	19	36	29	1432	1115	1124
168.573471	1368	0	25	30	33	1431	1111	1066
168.7803	1429	0	22	30	39	1483	1242	1163
168.987137	1419	1	19	32	42	1365	1144	1114
169.193985	1406	1	19	39	27	1472	1148	1173
169.400818	1391	3	28	35	31	1363	1107	1165
169.607666	1402	0	17	28	42	1354	1142	1126
169.8145	1342	2	26	40	33	1392	1184	1068
170.021332	1350	2	21	18	43	1417	1149	1092
170.22818	1322	0	16	37	40	1383	1201	1143
170.435013	1416	0	27	34	27	1410	1165	1048
170.641846	1399	1	19	39	32	1412	1108	1067
170.8487	1344	0	30	33	34	1364	1121	1045
171.055527	1389	1	25	25	45	1391	1178	1084
171.26236	1426	1	25	37	32	1390	1098	1050
171.469208	1405	0	23	28	32	1390	1017	1084
171.676041	1377	1	17	37	33	1397	1119	1110
171.882889	1355	2	29	28	33	1396	1170	1053
172.089722	1348	2	19	31	31	1410	1126	1095
172.296555	1258	1	26	31	33	1405	1133	1060
172.5034	1375	2	21	40	41	1448	1179	1101
172.710236	1317	1	20	27	38	1317	1072	1039
172.917084	1297	1	19	29	26	1412	1123	1065
173.123917	1349	0	27	24	44	1371	1110	1074
173.33075	1278	0	26	47	42	1414	1109	1026
173.5376	1354	0	25	30	40	1369	1113	1113
173.744431	1308	2	30	25	48	1298	1104	1066
173.951263	1395	1	23	34	37	1376	1041	1098
174.158112	1312	1	15	40	30	1384	1109	1035
174.364944	1308	0	23	36	40	1320	1086	1039
174.571777	1353	3	20	33	34	1273	1085	1054
174.778625	1357	0	30	30	29	1319	1079	1067
174.985458	1313	2	26	38	31	1383	1089	1059
175.1923	1375	2	23	35	37	1341	1047	945
175.399139	1341	3	22	32	36	1327	1048	1067
175.605972	1334	3	15	31	33	1357	1017	1039
175.81282	1321	3	22	31	37	1381	1029	985
176.019653	1357	0	15	34	41	1306	1064	1003
176.2265	1294	0	14	37	31	1313	1051	1071
176.433334	1304	0	22	28	42	1375	1079	1012
176.640167	1346	0	18	29	30	1294	1076	1009
176.847015	1251	1	25	39	33	1334	1066	984
177.053848	1305	2	20	23	22	1283	1068	1025
177.260681	1311	2	16	34	41	1289	1085	1003
177.467529	1273	0	16	38	36	1318	1092	988
177.674362	1300	2	18	45	36	1273	1055	1005
177.8812	1259	0	20	30	34	1324	1026	970
178.088043	1290	0	20	30	40	1325	1079	979
178.294876	1208	2	23	31	37	1306	1053	1001
178.501724	1317	2	23	36	39	1367	1083	987
178.708557	1212	1	19	31	26	1330	969	1012
178.91539	1220	4	21	37	36	1260	1011	1006
179.122238	1335	0	19	26	28	1287	1042	1010
179.329071	1231	0	30	41	22	1278	1037	939
179.535919	1289	1	18	31	33	1263	985	1001
179.742752	1239	2	18	35	26	1262	1021	945
179.949585	1210	2	32	28	37	1245	970	984
180.156433	1215	2	23	25	34	1302	1066	1049
180.363266	1254	0	26	34	33	1296	1026	1002
180.5701	1232	1	30	42	25	1236	1032	969
180.776947	1233	3	35	42	30	1271	997	939
180.98378	1215	1	22	29	29	1248	969	1007
181.190613	1256	1	25	27	34	1263	985	986
181.397461	1278	1	22	33	28	1278	963	942
181.6043	1218	2	19	36	33	1219	977	946
181.811142	1218	0	29	33	41	1274	1027	918
182.017975	1212	2	22	23	34	1217	1060	991
182.224808	1227	0	27	30	30	1274	1039	944
182.431656	1234	2	16	34	28	1218	1007	937
182.638489	1206	0	17	30	38	1258	1011	1009
182.845337	1223	2	21	27	33	1210	984	955
183.05217	1237	2	15	29	34	1233	1007	944
183.259	1234	0	22	26	30	1197	994	950
183.465851	1144	2	19	34	29	1199	955	866
183.672684	1240	0	19	36	36	1157	950	946
183.879517	1166	1	21	37	32	1205	928	878
184.086365	1178	1	20	25	38	1225	955	911
184.2932	1217	1	12	32	28	1233	987	896
184.500031	1149	0	23	19	30	1187	953	935
184.706879	1157	1	19	31	36	1186	991	994
184.913712	1186	0	29	35	32	1230	942	885
185.12056	1174	0	24	34	27	1249	933	898
185.3274	1206	1	20	37	34	1179	972	928
185.534225	1151	2	27	35	24	1160	1016	920
185.741074	1157	1	23	20	26	1131	881	915
185.9479	1262	2	11	27	32	1186	927	912
186.154755	1155	0	20	19	30	1148	954	909
186.361588	1195	0	24	28	28	1134	912	963
186.56842	1185	2	19	31	34	1239	926	940
186.775269	1117	0	17	24	33	1213	909	884
186.9821	1158	0	18	33	27	1165	941	980
187.188934	1220	0	23	29	23	1175	913	909
187.395782	1170	2	15	39	37	1146	1009	949
187.602615	1119	1	28	23	40	1109	871	903
187.809448	1135	1	19	30	31	1130	936	892
188.0163	1164	2	28	21	34	1135	954	894
188.223129	1116	1	12	30	37	1133	902	887
188.429977	1190	2	21	31	35	1173	962	938
188.63681	1065	3	19	42	32	1148	906	894
188.843643	1109	0	17	31	24	1127	930	888
189.050491	1206	0	25	24	32	1098	916	853
189.257324	1132	1	15	24	36	1153	990	877
189.464172	1161	0	18	27	31	1213	849	869
189.671	1143	0	18	33	29	1121	877	886
189.877838	1153	0	22	31	33	1141	915	880
190.084686	1100	2	28	31	33	1097	929	893
190.291519	1128	3	24	39	25	1089	937	867
190.498352	1121	2	25	23	31	1182	924	876
190.7052	1088	1	23	30	23	1093	953	819
190.912033	1089	2	19	29	30	1107	942	853
191.118866	1103	0	29	27	22	1160	875	855
191.325714	1131	1	27	36	32	1112	933	818
191.532547	1074	0	19	34	29	1201	801	909
191.7394	1097	1	20	25	37	1055	901	855
191.946228	1081	0	19	25	36	1100	897	891
192.153061	1101	2	20	43	29	1119	929	852
192.359909	1099	2	13	22	27	1168	878	797
192.566742	1074	1	17	23	28	1108	886	801
192.77359	1114	0	23	31	33	1102	831	846
192.980423	1082	0	24	29	32	1105	912	840
193.187256	1074	2	16	26	33	1086	913	791
193.3941	1122	1	9	33	32	1048	855	826
193.600937	1057	0	16	23	25	1101	879	823
193.80777	1101	0	20	26	30	1044	875	827
194.014618	1081	3	24	27	37	1092	879	793
194.221451	1045	1	16	30	26	1050	826	838
194.428284	1090	0	20	31	42	1179	835	860
194.635132	1057	5	18	28	33	1054	877	828
194.841965	1032	3	24	34	21	1103	898	828
195.048813	1124	0	25	30	33	1059	882	851
195.255646	1053	2	8	27	28	1067	873	828
195.462479	1022	2	22	32	32	1099	824	842
195.669327	991	1	19	20	22	1001	823	802
195.87616	1066	0	16	29	46	1132	850	838
196.083008	1062	1	25	26	26	1009	830	765
196.289841	1058	1	17	34	26	1080	826	813
196.496674	1001	1	20	26	25	1098	840	769
196.703522	1077	0	17	24	33	1058	831	815
196.910355	1057	2	15	32	32	1024	829	807
197.117188	1035	1	17	29	31	994	867	774
197.324036	1055	1	24	27	19	1053	821	828
197.530869	1034	0	25	35	40	1061	851	799
197.7377	1047	2	29	35	30	1032	821	778
197.94455	1047	0	17	40	30	1028	822	801
198.151382	1060	1	17	26	35	1044	820	778
198.358231	990	0	24	28	31	1054	829	749
198.565063	1026	0	29	29	38	1034	864	848
198.7719	1069	1	17	27	23	972	863	809
198.978745	1020	2	20	20	24	1023	887	831
199.185577	1000	1	18	24	29	1042	808	778
199.392426	1009	1	18	38	34	1098	843	795
199.599258	941	1	22	26	33	1001	840	766
199.806091	990	0	24	35	26	1010	864	788
200.012939	979	1	15	31	31	1009	839	766
200.219772	1036	0	18	25	33	1033	796	788
200.4266	978	0	25	22	25	968	784	756
200.633453	947	2	16	42	30	1026	831	766
200.840286	966	0	22	34	37	1019	810	796
201.047119	1008	1	24	28	36	967	834	791
201.253967	1070	0	25	23	36	964	815	786
201.4608	987	2	15	28	32	1064	779	769
201.667648	1003	1	15	28	38	940	768	693
201.874481	1025	0	26	26	30	1035	821	801
202.081314	939	1	14	31	21	960	751	743
202.288162	996	2	17	35	26	924	767	815
202.495	945	0	16	33	29	983	795	790
202.701843	1051	0	26	23	36	962	777	729
202.908676	990	2	20	35	35	978	738	772
203.115509	962	2	25	21	21	974	747	719
203.322357	943	1	21	31	39	990	782	778
203.52919	994	1	13	29	23	1011	810	760
203.736023	931	2	31	30	26	1023	775	705
203.942871	947	3	17	25	43	993	822	749
204.1497	972	0	22	32	53	979	840	785
204.356537	969	0	13	38	25	965	760	726
204.563385	967	1	17	35	30	948	770	781
204.770218	954	2	13	29	27	950	815	767
204.977066	925	2	19	27	29	963	795	722
205.1839	951	0	25	31	30	1001	774	735
205.390732	975	1	15	29	22	958	785	743
205.59758	942	1	25	28	29	955	724	709
205.804413	944	0	30	32	28	977	743	739
206.011261	933	0	17	43	24	956	770	731
206.2181	995	0	24	25	31	979	747	730
206.424927	963	1	15	27	25	959	762	689
206.631775	917	1	19	29	30	930	713	767
206.838608	884	0	25	39	36	970	764	717
207.045441	914	1	21	30	23	977	708	697
207.252289	949	2	18	35	23	882	729	711
207.459122	928	0	22	25	19	913	678	702
207.665955	926	2	21	24	23	911	747	734
207.8728	917	1	15	30	34	929	748	706
208.079636	918	1	15	21	22	921	792	669
208.286484	928	0	27	30	22	957	757	739
208.493317	911	1	19	24	30	1000	725	709
208.70015	888	0	16	22	39	881	721	711
208.907	1013	1	20	33	22	952	794	702
209.113831	932	1	20	28	27	892	760	644
209.320679	920	0	18	28	30	912	724	653
209.527512	895	0	15	28	27	902	780	701
209.734344	956	1	34	36	31	946	724	703
209.9412	928	0	18	26	20	917	769	719
210.148026	906	0	23	27	28	886	726	709
210.354858	885	3	15	25	24	877	830	763
210.5617	926	0	16	30	34	911	748	632
210.768539	890	1	19	26	26	907	724	702
210.975372	908	0	16	28	29	920	738	723
211.18222	895	1	16	27	27	865	674	709
211.389053	920	1	17	28	24	925	686	645
211.5959	886	0	23	28	28	934	696	717
211.802734	890	1	20	37	27	879	721	668
212.009567	952	1	22	24	27	846	742	638
212.216415	901	0	14	24	31	849	724	678
212.423248	907	0	19	18	30	900	684	645
212.6301	864	1	18	28	29	882	675	659
212.836929	901	1	23	23	34	896	706	722
213.043762	886	0	21	26	24	849	714	715
213.25061	897	0	28	31	20	881	704	691
213.457443	860	1	21	28	32	909	682	664
