ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
25.6479874	7350	2	3603	3038	3007	7698	7053	7217
25.854826	7428	3	3654	3059	2855	7781	7314	7382
26.0616646	7487	0	3597	2911	2790	7763	7235	7210
26.2685032	7334	1	3478	2770	2795	7710	7003	7126
26.4753418	7175	4	3264	2790	2678	7668	6872	7099
26.68218	7328	3	3285	2793	2714	7497	6866	7252
26.889019	7365	0	3188	2723	2639	7619	7006	7261
27.0958576	7112	2	3219	2644	2519	7583	6930	7270
27.3026962	7140	2	3221	2589	2649	7496	6953	7009
27.5095348	7123	0	3062	2528	2513	7504	6967	7077
27.7163734	7012	1	3052	2580	2427	7354	6734	7051
27.9232121	6999	3	2855	2451	2396	7388	6845	6952
28.13005	6995	0	2951	2429	2305	7214	6785	7014
28.33689	6899	0	2898	2417	2231	7371	6573	6980
28.5437279	7084	0	2815	2395	2213	7465	6748	6873
28.7505665	7005	1	2831	2275	2217	7309	6628	6877
28.9574051	6854	0	2689	2296	2128	7322	6606	6781
29.1642437	6944	1	2744	2255	2206	7308	6783	6868
29.3710823	6912	1	2651	2247	2078	7195	6562	6640
29.57792	6885	0	2580	2107	2120	7380	6679	6687
29.78476	7080	0	2772	2133	2027	7321	6746	6690
29.9915981	6849	4	2579	2170	2065	7241	6614	6741
30.1984367	6771	2	2556	2139	2040	7282	6656	6779
30.4052753	6830	0	2487	2101	2043	7317	6438	6689
30.612114	6819	0	2389	1993	1947	7101	6583	6639
30.8189526	6843	0	2429	2012	1960	7074	6548	6729
31.0257912	6840	2	2436	2036	1909	6998	6430	6583
31.23263	6875	0	2354	1940	1804	7084	6417	6597
