lambda(nm),responsivity(A/W)
202.375478927203,0.04277593420862791
207.5862068965517,0.05034001827538115
214.32950191570876,0.054148030587216844
221.37931034482756,0.055447506372336836
228.73563218390802,0.060263550233251556
235.01915708812257,0.06607704515942864
241.9157088122605,0.07214543355937092
248.50574712643675,0.07745876015966913
254.48275862068965,0.08427451546193429
260.4597701149425,0.09209445486461788
265.0574712643678,0.09990573750781512
271.64750957854403,0.10923580050978692
279.0038314176245,0.11480498244601545
285.4406130268199,0.1221257153849853
288.81226053639847,0.12566152070408307
293.25670498084287,0.1281998749579185
297.7011494252873,0.12973404511133552
301.6858237547892,0.13277160582888467
305.36398467432946,0.13781561102294038
309.1954022988506,0.14286057807916122
313.1800766283525,0.147404414947338
317.31800766283527,0.15094502957726152
321.9157088122605,0.1547395758187851
325.44061302681996,0.15777425094983882
329.5785440613027,0.16106381955465776
333.56321839080465,0.16435242629731153
337.54789272030655,0.1673899870148607
341.6858237547892,0.16992641754436583
345.823754789272,0.17196075602366173
348.8888888888889,0.17097580916654637
351.0344827586207,0.16697253883518487
352.8735632183908,0.16271629875438842
354.5593869731801,0.15720386668590383
356.2452107279694,0.15118934256721003
357.62452107279694,0.14567498677439517
358.8505747126437,0.13915548501899672
359.9233716475096,0.1323839753763285
361.14942528735634,0.12410715144519782
363.7547892720306,0.09826576251623136
366.51340996168585,0.06614918482181498
368.65900383141764,0.04181118645698062
370.34482758620686,0.022240176982638304
