6						
236						
	psnf10hex 260:265-500	Psnf 10 260:265-500	pshex 260:265-500	pvthex 260:265-500	pvtcef3 260:265-500	pvt-cef3 260:265-500
X	Y	Y	Y	Y	Y	Y
376	90767.7	71383.3	11504.9	22432.2	19065.6	12179.1
377	87333.8	68117.3	10971.8	21906.1	18055.8	12048.3
378	81985.3	67972.3	10328.2	20015.3	17631.8	12088.5
379	77983.4	61952.8	9855.64	19621.2	17066.7	11394.3
380	72286.2	60765.5	9604.35	19580.8	16532	11354
381	70584.4	57496.6	9282.75	18277.9	16219.3	11595.5
382	69402.3	55797.2	8910.97	18288	15957.1	11414.4
383	63957.2	52772.9	8358.45	17520.8	15422.6	10891.3
384	63151.1	49332.6	8217.84	17056.6	14989.2	11092.5
385	60765.5	50656.6	7876.39	15543.6	14424.8	10277.9
386	60631.4	47958.1	7223.79	15755.4	13890.9	10127.1
387	58877.7	47138	7304.1	16521.9	13699.5	10006.4
388	55385.5	43400.7	6350.66	15100.1	12974.4	9885.8
389	54407.9	42163.4	6501.17	15190.8	12591.8	9272.7
390	52670.1	43533.7	6380.76	14696.9	12350.2	9132.02
391	51673.4	40610.1	6370.73	14162.9	12249.6	9413.39
392	48983.7	39068.3	5969.42	13719.6	11484.8	8800.45
393	47906.9	37731.7	5768.8	13256.3	11565.3	9061.68
394	45068.8	36457.2	5588.26	13578.6	11374.1	8699.99
395	43308.7	33544.3	5497.99	12209.3	10408.6	7755.89
396	41008.5	32537	5508.02	11494.9	10931.5	8087.28
397	39231.6	31276	5026.68	10740.4	9634.5	8237.92
398	38160.1	31713.2	4314.93	11847	9996.38	7394.45
399	38282.6	28198.4	4665.76	10871.2	9473.69	7464.72
400	35315.9	28878.5	4094.44	10458.9	9232.51	7304.1
401	35275.2	26666.5	4695.83	9855.64	8971.25	6581.45
402	33025.3	26189.9	4685.81	9604.35	8589.49	7053.15
403	32872.7	25287.8	4294.88	9513.9	7976.81	6380.76
404	32526.8	24933.1	3693.61	9976.27	7836.22	6170.06
405	31367.5	24548.2	3904.03	8981.3	8358.45	5818.95
406	30960.9	23525.3	3423.1	9091.83	8006.94	5758.77
407	28645	22189.3	3573.38	8519.17	7705.69	5518.05
408	28543.5	22280.4	3773.77	8509.12	7615.32	5939.33
409	27853.3	21157.6	3994.22	8649.76	7203.71	5427.79
410	28685.6	20783.5	3473.19	8338.36	6942.74	5558.17
411	26129.1	19590.9	3633.49	8298.19	6822.3	4906.37
412	26068.2	19813.2	3312.9	8408.67	6350.66	5136.98
413	25662.8	18005.3	3443.14	7354.29	6360.69	4816.13
414	23869.6	18015.4	2962.32	7253.9	6350.66	4555.49
415	23829.1	17076.8	3322.92	6842.37	6109.87	4435.2
416	23829.1	16209.2	3342.96	6641.66	5377.65	4184.63
417	22826.8	16945.6	2802.08	6822.3	5618.35	4294.88
418	21177.9	15442.8	2972.34	6430.93	5869.11	4264.81
419	20813.9	15241.2	2731.98	5839.01	4816.13	3843.91
420	20915	14878.3	2822.11	6119.9	5177.09	4084.41
421	19813.2	15170.6	2551.72	5277.36	5056.76	3873.97
422	19095.9	13951.3	2441.58	5788.86	5437.82	3583.4
423	19126.2	13276.5	2401.53	5508.02	4655.73	3693.61
424	18631.3	12239.5	2461.6	5066.79	4625.66	3403.06
425	17864	12279.8	2211.29	5177.09	4715.88	3413.08
426	16632.8	12360.3	2391.51	4826.16	4244.77	3222.75
427	17177.7	11726.3	2681.9	4515.39	4806.11	3272.83
428	16471.4	11887.3	2361.48	4936.44	4525.42	3132.6
429	15997.4	10831	2031.09	4515.39	4274.83	2922.26
430	15634.4	11585.4	2201.28	4575.54	3954.14	3062.48
431	14807.8	10720.3	2141.21	4495.35	3944.12	2912.24
432	15019.4	10629.8	1910.97	4355.02	3683.59	2621.82
433	13931.1	9132.02	2101.17	4114.48	3783.79	3182.68
434	13336.9	9996.38	1850.91	4174.61	3403.06	2601.79
435	13447.7	9765.17	1820.88	3573.38	3523.28	2631.83
436	13447.7	9172.21	1690.76	4164.59	3172.66	2291.39
