# Longitud_de_onda(nm),Intensidad_normalizada
4.630000e+02,3.026964e-02
4.640000e+02,2.535905e-02
4.650000e+02,2.519535e-02
4.660000e+02,2.928743e-02
4.670000e+02,2.470424e-02
4.680000e+02,2.928743e-02
4.690000e+02,2.977854e-02
4.700000e+02,2.830521e-02
4.710000e+02,2.454070e-02
4.720000e+02,2.634110e-02
4.730000e+02,2.388589e-02
4.740000e+02,2.650481e-02
4.750000e+02,2.519535e-02
4.760000e+02,2.012187e-02
4.770000e+02,2.241305e-02
4.780000e+02,2.274030e-02
4.790000e+02,2.241305e-02
4.800000e+02,2.208565e-02
4.810000e+02,2.175841e-02
4.820000e+02,2.257659e-02
4.830000e+02,1.750361e-02
4.840000e+02,1.913998e-02
4.850000e+02,2.323124e-02
4.860000e+02,2.044911e-02
4.870000e+02,1.815825e-02
4.880000e+02,2.224935e-02
4.890000e+02,2.012187e-02
4.900000e+02,1.848550e-02
4.910000e+02,2.061281e-02
4.920000e+02,1.635834e-02
4.930000e+02,1.554014e-02
4.940000e+02,1.946739e-02
4.950000e+02,2.028557e-02
4.960000e+02,2.077652e-02
4.970000e+02,1.635834e-02
4.980000e+02,1.766731e-02
4.990000e+02,1.848550e-02
5.000000e+02,1.537652e-02
